"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"64176.7314002199","0","CLICK User:8 Request:25"
"64178.5777242638","0","CLICK User:9 Request:21"
"64366.5007703493","0","CLICK User:13 Request:6"
"64531.8195468977","0","CLICK User:2 Request:48"
"64627.033882798","0","CLICK User:12 Request:10"
"64749.8293777561","0","CLICK User:11 Request:14"
"64758.5397026717","0","CLICK User:6 Request:33"
"64768.774523019","0","CLICK User:7 Request:29"
"64787.6836301821","0","CLICK User:1 Request:52"
"65094.5533580385","0","CLICK User:10 Request:18"
"65101.5821843279","0","CLICK User:4 Request:41"
"65103.8104004839","0","CLICK User:5 Request:37"
"65233.0810200738","0","CLICK User:14 Request:3"
"65386.6259538573","0","CLICK User:3 Request:45"
"65442.8065578167","0","CLICK User:8 Request:26"
"65455.286635592","0","CLICK User:9 Request:22"
"65629.6406386845","0","CLICK User:13 Request:7"
"65789.2936113389","0","CLICK User:2 Request:49"
"65898.4303871023","0","CLICK User:12 Request:11"
"66015.6070115057","0","CLICK User:11 Request:15"
"66028.987483046","0","CLICK User:6 Request:34"
"66036.4574268517","0","CLICK User:7 Request:30"
"66058.2451121581","0","CLICK User:1 Request:53"
"66365.3179384531","0","CLICK User:10 Request:19"
"66374.067933215","0","CLICK User:4 Request:42"
"66378.164543259","0","CLICK User:5 Request:38"
"66497.1654218623","0","CLICK User:14 Request:4"
"66650.5757016604","0","CLICK User:3 Request:46"
"66709.1906932306","0","CLICK User:8 Request:27"
"66714.3762684922","0","CLICK User:9 Request:23"
"66895.1634914493","0","CLICK User:13 Request:8"
"67044.1762849748","0","CLICK User:2 Request:50"
"67163.1939254849","0","CLICK User:12 Request:12"
"67296.9874662841","0","CLICK User:11 Request:16"
"67313.3702747137","0","CLICK User:6 Request:35"
"67313.5155445734","0","CLICK User:7 Request:31"
"67332.7386581255","0","CLICK User:1 Request:54"
"67603.4951369518","0","CLICK User:15 Request:1"
"67633.1002962667","0","CLICK User:10 Request:20"
"67641.328157629","0","CLICK User:4 Request:43"
"67659.1427122721","0","CLICK User:5 Request:39"
"67763.2956143867","0","CLICK User:14 Request:5"
"67914.0642176589","0","CLICK User:3 Request:47"
"67974.9591079313","0","CLICK User:8 Request:28"
"67978.8392100113","0","CLICK User:9 Request:24"
"68154.1620513222","0","CLICK User:13 Request:9"
"68310.7177029483","0","CLICK User:2 Request:51"
"68441.5628243254","0","CLICK User:12 Request:13"
"68561.4135316081","0","CLICK User:11 Request:17"
"68585.1266012859","0","CLICK User:7 Request:32"
"68587.3218523583","0","CLICK User:6 Request:36"
"68605.4171689419","0","CLICK User:1 Request:55"
"68873.2894823225","0","CLICK User:15 Request:2"
"68900.5803810261","0","CLICK User:10 Request:21"
"68907.8265533748","0","CLICK User:4 Request:44"
"68929.7958260058","0","CLICK User:5 Request:40"
"69019.0714182948","0","CLICK User:14 Request:6"
"69174.8747396666","0","CLICK User:3 Request:48"
"69241.4706338375","0","CLICK User:8 Request:29"
"69251.9574415184","0","CLICK User:9 Request:25"
"69418.3162943894","0","CLICK User:13 Request:10"
"69570.4657994242","0","CLICK User:2 Request:52"
"69718.1214372218","0","CLICK User:12 Request:14"
"69834.176131324","0","CLICK User:11 Request:18"
"69854.8972006219","0","CLICK User:6 Request:37"
"69870.0720342949","0","CLICK User:7 Request:33"
"69870.6405423036","0","CLICK User:1 Request:56"
"70142.7385324112","0","CLICK User:15 Request:3"
"70176.0061683817","0","CLICK User:4 Request:45"
"70182.1999723429","0","CLICK User:10 Request:22"
"70199.4401523099","0","CLICK User:5 Request:41"
"70282.9303724356","0","CLICK User:14 Request:7"
"70440.5783416607","0","CLICK User:3 Request:49"
"70505.9687753611","0","CLICK User:8 Request:30"
"70513.4004461461","0","CLICK User:9 Request:26"
"70677.491971745","0","CLICK User:13 Request:11"
"70825.4764222827","0","CLICK User:2 Request:53"
"71074.5488602602","0","CLICK User:12 Request:15"
"71192.6040879497","0","CLICK User:11 Request:19"
"71217.3432656944","0","CLICK User:6 Request:38"
"71230.656130877","0","CLICK User:7 Request:34"
"71237.0907475671","0","CLICK User:1 Request:57"
"71414.2157732338","0","CLICK User:15 Request:4"
"71455.2561847944","0","CLICK User:4 Request:46"
"71457.2871691793","0","CLICK User:10 Request:23"
"71478.7533052385","0","CLICK User:5 Request:42"
"71543.4922594911","0","CLICK User:14 Request:8"
"71707.1940707548","0","CLICK User:3 Request:50"
"71769.6849739282","0","CLICK User:8 Request:31"
"71773.6337998265","0","CLICK User:9 Request:27"
"71941.5364243221","0","CLICK User:13 Request:12"
"72085.0803663594","0","CLICK User:2 Request:54"
"72243.7776309559","0","CLICK User:16 Request:1"
"72350.1766285939","0","CLICK User:12 Request:16"
"72484.7822837819","0","CLICK User:11 Request:20"
"72494.4033389719","0","CLICK User:6 Request:39"
"72500.5706032471","0","CLICK User:7 Request:35"
"72508.1539692894","0","CLICK User:1 Request:58"
"72690.0460812757","0","CLICK User:15 Request:5"
"72723.7995331809","0","CLICK User:4 Request:47"
"72731.6097436965","0","CLICK User:10 Request:24"
"72742.5197895263","0","CLICK User:5 Request:43"
"72805.7973848632","0","CLICK User:14 Request:9"
"72968.0518054669","0","CLICK User:3 Request:51"
"73042.2506212382","0","CLICK User:8 Request:32"
"73049.7406793322","0","CLICK User:9 Request:28"
"73201.1219303012","0","CLICK User:13 Request:13"
"73340.113059062","0","CLICK User:2 Request:55"
"73506.2224388854","0","CLICK User:16 Request:2"
"73615.5142622875","0","CLICK User:12 Request:17"
"73764.982141585","0","CLICK User:6 Request:40"
"73768.8236912792","0","CLICK User:7 Request:36"
"73771.0873868047","0","CLICK User:11 Request:21"
"73776.9160605608","0","CLICK User:1 Request:59"
"73967.2779640988","0","CLICK User:15 Request:6"
"73994.1500944953","0","CLICK User:4 Request:48"
"74002.8498035365","0","CLICK User:10 Request:25"
"74015.3821225882","0","CLICK User:5 Request:44"
"74071.4554503436","0","CLICK User:14 Request:10"
"74234.7200552025","0","CLICK User:3 Request:52"
"74308.9803312991","0","CLICK User:8 Request:33"
"74314.8148717225","0","CLICK User:9 Request:29"
"74462.2498110793","0","CLICK User:13 Request:14"
"74594.3096119758","0","CLICK User:2 Request:56"
"74758.2824074009","0","CLICK User:16 Request:3"
"74894.4265262764","0","CLICK User:12 Request:18"
